n, time
10000, 3142433.25
20000, 5626791.4
30000, 8904689.75
40000, 1.2068407E7
50000, 1.45529508E7
60000, 1.66199703E7
70000, 1.9756627E7
80000, 2.25479946E7
90000, 2.66336747E7
100000, 2.920535515E7
110000, 3.48763442E7
120000, 3.54215188E7
130000, 3.891919575E7
140000, 4.059099685E7
150000, 4.173236225E7
160000, 4.672878805E7
170000, 4.704485075E7
180000, 5.275011505E7
190000, 6.129372015E7
200000, 6.08970985E7
